SPN ID,Project Folder,Sub folder,N in Group,N in condition,Group,Nick name,Paper,Paper 2022,Lead Researcher,Journal,Year,Regular,Less regular comparision,Original electrode cluster,Original Time window,Notes,Cluster 1,Cluster 2,Cluster 3,,ATT,W,W explantions,Original,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 1,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 2,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Cluster 3,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Left,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Right,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Early,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,Late,Project,SPN ID,M,SD,D,N,pSPN,t,p,S.E.M,95% CI,minus,plus,,,SPN ID,Electrodes,Epoch,N particpants,N trials in design,N trials recorded,p included,Max ,Min,M components removed,Max,Min,,p included No ICA,Max,Min,,,,Project,Expeirment,Group,,,,,,,,,,,,,
1,1,EX1 Reflection,24,24,1,Jacobsen,World,World,Makin  ,Neuropsychologia,2012,Ref,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.750000,,Ex1,1,1,-2.503060015,1.751117576,-1.429407168,24,0.916666667,-7.002636392,3.89076E-07,0.357445378,0.739432102,-3.242492117,-1.763627912,Ex1,1,1,-1.782109676,1.400418984,-1.27255464,24,0.875,-6.234219075,2.32133E-06,0.285859328,0.591345074,-2.37345475,-1.190764601,Ex1,1,1,-2.503060015,1.751117576,-1.429407168,24,0.916666667,-7.002636392,3.89076E-07,0.357445378,0.739432102,-3.242492117,-1.763627912,Ex1,1,1,-1.322902822,0.866575836,-1.526586326,24,0.958333333,-7.478715093,1.3359E-07,0.176889052,0.365922883,-1.688825705,-0.956979939,Ex1,1,1,-1.856656327,1.399674925,-1.326491097,24,0.916666667,-6.498452672,1.24587E-06,0.285707448,0.591030886,-2.447687212,-1.265625441,Ex1,1,1,-1.707562538,1.566847137,-1.089807996,24,0.875,-5.338947015,2.02015E-05,0.319831333,0.66162152,-2.369184059,-1.045941018,Ex1,1,1,-3.05265675,1.762164545,-1.732333543,24,0.916666667,-8.48666649,1.53446E-08,0.359700332,0.744096828,-3.796753579,-2.308559922,Ex1,1,1,-2.163817321,1.887679306,-1.14628439,24,0.875,-5.615623709,1.02675E-05,0.385320925,0.797097063,-2.960914384,-1.366720257,,,1,PO7 PO8,300-1000,24,160,3840,0.899,1.000,0.619,9.417,16,4,,0.560,0.956,0.131,,,,1,EX1 Reflection,1,,,,,,,,,,,,,
2,1,EX2 Yes No,24,24,2,Jacobsen,World,World,Makin  ,Neuropsychologia,2012,Ref,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.750000,,Ex2,1,2,-2.318019978,1.650402195,-1.404518236,24,1,-6.880706023,5.14038E-07,0.336886937,0.696903727,-3.014923705,-1.621116252,Ex2,1,2,-1.985410141,1.234561818,-1.608190138,24,1,-7.878490494,5.57156E-08,0.252003876,0.521309736,-2.506719876,-1.464100405,Ex2,1,2,-2.318019978,1.650402195,-1.404518236,24,1,-6.880706023,5.14038E-07,0.336886937,0.696903727,-3.014923705,-1.621116252,Ex2,1,2,-1.288383685,0.749325046,-1.719392259,24,0.916666667,-8.423267406,1.7512E-08,0.152955335,0.316412217,-1.604795902,-0.971971468,Ex2,1,2,-1.748701655,1.648799753,-1.060590682,24,0.833333333,-5.195811994,2.87377E-05,0.33655984,0.696227075,-2.44492873,-1.05247458,Ex2,1,2,-2.222118242,1.532839318,-1.449674611,24,1,-7.10192618,3.10562E-07,0.312889516,0.647261278,-2.86937952,-1.574856965,Ex2,1,2,-2.609681801,1.711859603,-1.524471864,24,1,-7.468356389,1.3669E-07,0.349431878,0.722854914,-3.332536715,-1.886826887,Ex2,1,2,-2.121736346,1.57833272,-1.344289654,24,0.958333333,-6.585647437,1.01644E-06,0.322175817,0.666471456,-2.788207802,-1.455264889,,,2,PO7 PO8,300-1000,24,160,3840,0.927,1.000,0.725,10.167,19,2,,0.523,0.900,0.063,,,,1,EX2 Yes No,2,,,,,,,,,,,,,
3,1,EX3 Rotation,12,12,3,Jacobsen,World,World,Makin  ,Neuropsychologia,2012,Rot,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,NaN,What do you consider element?,Ex3,1,3,-1.683176026,0.896874226,-1.876713566,12,0.916666667,-6.501126495,4.42088E-05,0.258905288,0.569846696,-2.253022723,-1.11332933,Ex3,1,3,-1.480332096,0.663630033,-2.230658684,12,1,-7.727228349,9.07062E-06,0.191573489,0.421650407,-1.901982502,-1.058681689,Ex3,1,3,-1.683176026,0.896874226,-1.876713566,12,0.916666667,-6.501126495,4.42088E-05,0.258905288,0.569846696,-2.253022723,-1.11332933,Ex3,1,3,-0.918321307,0.510846314,-1.797646928,12,1,-6.227231628,6.46357E-05,0.147468628,0.324576263,-1.24289757,-0.593745044,Ex3,1,3,-1.143781283,0.888266771,-1.287655152,12,0.833333333,-4.460568291,0.000961754,0.25642053,0.56437778,-1.708159064,-0.579403503,Ex3,1,3,-1.816882385,0.834460449,-2.177313962,12,1,-7.542436813,1.13839E-05,0.240887982,0.530190874,-2.34707326,-1.286691511,Ex3,1,3,-2.029923075,1.207304774,-1.681367554,12,1,-5.824428061,0.000115104,0.348518868,0.767084857,-2.797007932,-1.262838218,Ex3,1,3,-1.660524801,0.961329301,-1.727321533,12,0.916666667,-5.983617311,9.1388E-05,0.277511865,0.610799497,-2.271324298,-1.049725304,,,3,PO7 PO8,300-1000,12,160,1920,0.988,1.000,0.919,9.083,12,6,,0.706,0.931,0.156,,,,1,EX3 Rotation,3,,,,,,,,,,,,,
4,2,EX1 Oddball,24,24,4,Dots,World,World,Makin  ,Psychophysiology,2013,Ref,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.500000,,Ref,2,4,-1.634351023,1.851962278,-0.882496929,24,0.791666667,-4.323334352,0.000251506,0.378030217,0.782015085,-2.416366108,-0.852335937,Ref,2,4,-1.393278862,1.395389384,-0.998487504,24,0.833333333,-4.891569796,6.10452E-05,0.284832665,0.589221261,-1.982500123,-0.804057602,Ref,2,4,-1.634351023,1.851962278,-0.882496929,24,0.791666667,-4.323334352,0.000251506,0.378030217,0.782015085,-2.416366108,-0.852335937,Ref,2,4,-0.938960529,0.970034027,-0.967966589,24,0.875,-4.742048464,8.85431E-05,0.198007367,0.409609446,-1.348569974,-0.529351083,Ref,2,4,-1.345574045,1.756634457,-0.765995475,24,0.75,-3.752596118,0.001037764,0.358571507,0.741761677,-2.087335722,-0.603812368,Ref,2,4,-1.440983529,1.718342814,-0.838589086,24,0.791666667,-4.108230729,0.000429839,0.350755258,0.725592534,-2.166576063,-0.715390995,Ref,2,4,-1.542021051,2.283494619,-0.675289987,24,0.75,-3.308231793,0.003068778,0.466116387,0.964235212,-2.506256263,-0.577785839,Ref,2,4,-1.544837851,1.658535824,-0.931446779,24,0.75,-4.563138661,0.000138286,0.338547207,0.700338257,-2.245176108,-0.844499594,,,4,PO7 PO8,300-1000,24,288,6912,0.914,0.993,0.576,7.958,15,2,,0.751,0.955,0.292,,,,2,EX1 Oddball,4,,,,,,,,,,,,,
5,2,EX1 Oddball,,24,4,Dots,World,World,Makin  ,Psychophysiology,2013,Trans,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.045455,,Trans,2,5,-1.005653256,1.335451911,-0.753043406,24,0.75,-3.689144199,0.001213269,0.27259798,0.563911886,-1.569565142,-0.44174137,Trans,2,5,-0.917482277,1.2933311,-0.709394738,24,0.791666667,-3.475310268,0.002047567,0.264000105,0.546125827,-1.463608104,-0.37135645,Trans,2,5,-1.005653256,1.335451911,-0.753043406,24,0.75,-3.689144199,0.001213269,0.27259798,0.563911886,-1.569565142,-0.44174137,Trans,2,5,-0.685753031,0.922143093,-0.743651431,24,0.75,-3.643133105,0.001358484,0.188231671,0.389386878,-1.075139909,-0.296366153,Trans,2,5,-0.927424268,1.813442056,-0.511416543,24,0.666666667,-2.505419154,0.019756458,0.37016731,0.765749422,-1.693173689,-0.161674846,Trans,2,5,-0.907540052,1.192078232,-0.761309138,24,0.791666667,-3.72963785,0.001098172,0.24333195,0.503370491,-1.410910542,-0.404169561,Trans,2,5,-0.865340275,1.527606386,-0.566468092,24,0.708333333,-2.775115563,0.010767518,0.311821348,0.645051604,-1.510391879,-0.220288671,Trans,2,5,-0.926047717,1.414560894,-0.654653837,24,0.708333333,-3.207135718,0.003911395,0.288746033,0.597316679,-1.523364397,-0.328731038,,,5,PO7 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,EX1 Oddball,,24,4,Dots,World,World,Makin  ,Psychophysiology,2013,Rot,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,0,0.045455,,Rot,2,6,-1.045344154,1.587190265,-0.658613008,24,0.625,-3.226531615,0.003734033,0.323983856,0.67021167,-1.715555824,-0.375132485,Rot,2,6,-0.968798375,1.322722209,-0.732427692,24,0.666666667,-3.588148238,0.001554521,0.26999954,0.558536604,-1.527334978,-0.410261771,Rot,2,6,-1.045344154,1.587190265,-0.658613008,24,0.625,-3.226531615,0.003734033,0.323983856,0.67021167,-1.715555824,-0.375132485,Rot,2,6,-0.615734478,0.982293276,-0.626833648,24,0.708333333,-3.070845183,0.005408134,0.200509775,0.414786073,-1.030520551,-0.200948405,Rot,2,6,-0.767739412,1.688730471,-0.45462519,24,0.625,-2.227199481,0.036005966,0.344710664,0.713088338,-1.480827751,-0.054651074,Rot,2,6,-1.169857364,1.268994581,-0.921877352,24,0.791666667,-4.516258235,0.000155437,0.259032434,0.535849416,-1.70570678,-0.634007948,Rot,2,6,-0.868961089,1.630433886,-0.532963094,24,0.583333333,-2.610975266,0.015621035,0.332810923,0.688471849,-1.557432938,-0.18048924,Rot,2,6,-0.967803778,1.722299039,-0.561925517,24,0.666666667,-2.752861581,0.011329857,0.351562819,0.727263102,-1.69506688,-0.240540677,,,6,PO7 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,EX2 Regularity,24,24,5,Dots,World,World,Makin  ,Psychophysiology,2013,Ref,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.500000,,Ref,2,7,-1.568808898,1.930445686,-0.812666686,24,0.833333333,-3.981237423,0.000589367,0.394050576,0.815155722,-2.38396462,-0.753653176,Ref,2,7,-1.336834744,1.713269347,-0.780282882,24,0.833333333,-3.822589833,0.000873093,0.349719641,0.723450197,-2.060284941,-0.613384547,Ref,2,7,-1.568808898,1.930445686,-0.812666686,24,0.833333333,-3.981237423,0.000589367,0.394050576,0.815155722,-2.38396462,-0.753653176,Ref,2,7,-0.848929021,1.142707904,-0.742909905,24,0.875,-3.639500384,0.001370651,0.233254274,0.48252323,-1.33145225,-0.366405791,Ref,2,7,-1.362966003,2.097979466,-0.649656503,24,0.833333333,-3.18265388,0.004146923,0.428248265,0.885899033,-2.248865036,-0.47706697,Ref,2,7,-1.310703174,1.853413829,-0.707183228,24,0.75,-3.464476125,0.002102265,0.378326514,0.782628022,-2.093331195,-0.528075152,Ref,2,7,-1.100392351,2.104422526,-0.522895159,24,0.666666667,-2.561652656,0.017440834,0.429563449,0.888619699,-1.989012049,-0.211772652,Ref,2,7,-1.663288815,1.947069497,-0.854252412,24,0.916666667,-4.184965042,0.000355088,0.397443897,0.822175342,-2.485464157,-0.841113473,,,7,PO7 PO8,300-1000,24,240,5760,0.899,0.992,0.521,7.750,16,2,,0.624,0.867,0.021,,,,2,EX2 Regularity,5,,,,,,,,,,,,,
8,2,EX2 Regularity,,24,5,Dots,World,World,Makin  ,Psychophysiology,2013,Trans,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.045455,,Trans,2,8,-0.587145998,1.784352291,-0.329052733,24,0.583333333,-1.612022588,0.12059601,0.364229386,0.753465892,-1.340611889,0.166319894,Trans,2,8,-0.452230097,1.663321018,-0.271883835,24,0.541666667,-1.33195333,0.195924827,0.339523981,0.702358867,-1.154588964,0.25012877,Trans,2,8,-0.587145998,1.784352291,-0.329052733,24,0.583333333,-1.612022588,0.12059601,0.364229386,0.753465892,-1.340611889,0.166319894,Trans,2,8,-0.382588981,1.049169846,-0.364658766,24,0.625,-1.786455812,0.087215888,0.214160898,0.443025572,-0.825614553,0.060436591,Trans,2,8,-0.781220102,1.664224632,-0.469419865,24,0.666666667,-2.299678288,0.030880889,0.33970843,0.70274043,-1.483960532,-0.078479672,Trans,2,8,-0.123240181,1.859630509,-0.066271327,24,0.5,-0.32466187,0.748371462,0.379595488,0.785253095,-0.908493276,0.662012914,Trans,2,8,-0.178451812,1.963030115,-0.090906304,24,0.416666667,-0.445348117,0.660231706,0.400701844,0.82891492,-1.007366731,0.650463108,Trans,2,8,-0.759457659,1.890007804,-0.40182779,24,0.625,-1.9685461,0.06117205,0.385796228,0.798080302,-1.557537961,0.038622643,,,8,PO7 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,EX2 Regularity,,24,5,Dots,World,World,Makin  ,Psychophysiology,2013,Rot,Rand,PO7 PO8,300-1000,,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.045455,,Rot,2,9,-1.035371215,1.521771617,-0.680372274,24,0.625,-3.333129812,0.002890003,0.310630331,0.642587797,-1.677959013,-0.392783418,Rot,2,9,-0.93743252,1.411907145,-0.663947713,24,0.75,-3.252666224,0.003507321,0.288204339,0.596196099,-1.533628619,-0.34123642,Rot,2,9,-1.035371215,1.521771617,-0.680372274,24,0.625,-3.333129812,0.002890003,0.310630331,0.642587797,-1.677959013,-0.392783418,Rot,2,9,-0.677071489,0.99126592,-0.68303719,24,0.708333333,-3.346185183,0.002800349,0.202341309,0.418574888,-1.095646376,-0.258496601,Rot,2,9,-1.099198698,1.694405049,-0.648722511,24,0.666666667,-3.178078273,0.004192437,0.345868982,0.715484502,-1.8146832,-0.383714195,Rot,2,9,-0.775665871,1.616633166,-0.479803265,24,0.666666667,-2.35054635,0.027692228,0.329993863,0.682644317,-1.458310187,-0.093021554,Rot,2,9,-0.626596955,1.384342054,-0.452631597,24,0.541666667,-2.217432907,0.036752811,0.282577639,0.584556383,-1.211153337,-0.042040572,Rot,2,9,-1.088829241,1.824709687,-0.596713684,24,0.625,-2.923288099,0.00764604,0.372467305,0.770507325,-1.859336566,-0.318321915,,,9,PO7 PO8,300-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,EX1 Disc Reg,20,20,6,Objects and gaps,World,World,Makin  ,JoV,2014,RefOne,TransOne,PO7 PO8,250-1000,40 Hz,PO7 O1 O2 PO8,PO7 PO8,P1 P3 P5 P7 P9 PO7 PO3 O1 P2 P4 P6 P8 P10 PO8 PO4 O2,,1,0.458333,,One,3,10,-0.410135193,1.327384426,-0.308979965,20,0.55,-1.381800411,0.183065577,0.296812181,0.621235034,-1.031370227,0.211099841,One,3,10,-0.49519497,1.166159113,-0.424637568,20,0.6,-1.899036937,0.07285168,0.260761105,0.545779265,-1.040974235,0.050584295,One,3,10,-0.410135193,1.327384426,-0.308979965,20,0.55,-1.381800411,0.183065577,0.296812181,0.621235034,-1.031370227,0.211099841,One,3,10,-0.179498957,0.756162767,-0.237381374,20,0.6,-1.061601777,0.30172492,0.169083135,0.353895069,-0.533394025,0.174396112,One,3,10,-0.403188173,1.140557366,-0.353501003,20,0.65,-1.580904546,0.130403914,0.25503638,0.533797279,-0.936985452,0.130609106,One,3,10,-0.587201301,1.476078027,-0.39781183,20,0.7,-1.779068587,0.0912323,0.330061081,0.690825782,-1.278027082,0.103624481,One,3,10,-0.682496229,1.497608047,-0.4557242,20,0.75,-2.038060579,0.055710538,0.33487534,0.700902141,-1.38339837,0.018405912,One,3,10,-0.296122327,1.532964495,-0.193169723,20,0.55,-0.863881264,0.39842805,0.342781282,0.717449468,-1.013571795,0.421327141,,,10,PO7 PO8,250-1000,20,288,5760,0.911,1.000,0.719,,,,,0.579,0.958,0.010,,,,3,EX1 Disc Reg,6,,,,,,,,,,,,,
