Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
1,EX1 Reflection,1,Jacobsen,Makin  ,2012,Neuropsychologia,Symmetry perception and affective responses: a combined EEG/EMG study,"Makin, A. D. J., Wilton, M. M., Pecchinenda, A. and Bertamini, M.",10.1016/j.neuropsychologia.2012.10.003
1,EX2 Yes No,2,Jacobsen,Makin  ,2012,Neuropsychologia,Symmetry perception and affective responses: a combined EEG/EMG study,"Makin, A. D. J., Wilton, M. M., Pecchinenda, A. and Bertamini, M.",10.1016/j.neuropsychologia.2012.10.003
1,EX3 Rotation,3,Jacobsen,Makin  ,2012,Neuropsychologia,Symmetry perception and affective responses: a combined EEG/EMG study,"Makin, A. D. J., Wilton, M. M., Pecchinenda, A. and Bertamini, M.",10.1016/j.neuropsychologia.2012.10.003
2,EX1 Oddball,4,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
2,EX1 Oddball,5,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
2,EX1 Oddball,6,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
2,EX2 Regularity,7,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
2,EX2 Regularity,8,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
2,EX2 Regularity,9,Dots,Makin  ,2013,Psychophysiology,Electrophysiological responses to visuospatial regularity,"Makin, A. D. J., Rampone, G., Pecchinenda, A. and Bertamini, M.",10.1111/psyp.12082
3,EX1 Disc Reg,10,Objects and gaps,Makin  ,2014,JoV,Visual symmetry in objects and gaps,"Makin, A. D. J., Rampone, G., Wright, A., Martinovic, J. and Bertamini, M.",10.1167/14.3.12
3,EX1 Disc Reg,11,Objects and gaps,Makin  ,2014,JoV,Visual symmetry in objects and gaps,"Makin, A. D. J., Rampone, G., Wright, A., Martinovic, J. and Bertamini, M.",10.1167/14.3.12
3,EX2 Disc Num,12,Objects and gaps,Makin  ,2014,JoV,Visual symmetry in objects and gaps,"Makin, A. D. J., Rampone, G., Wright, A., Martinovic, J. and Bertamini, M.",10.1167/14.3.12
3,EX2 Disc Num,13,Objects and gaps,Makin  ,2014,JoV,Visual symmetry in objects and gaps,"Makin, A. D. J., Rampone, G., Wright, A., Martinovic, J. and Bertamini, M.",10.1167/14.3.12
4,EX1 Reg or Valence (first 24),14,Congruence,Rampone ,2014,Neuropsychologia,Electrophysiological analysis of the affective congruence between pattern regularity and word valence,"Rampone, G., Makin, A. D. J. and Bertamini, M.",10.1016/j.neuropsychologia.2014.04.005
4,EX1 Reg or Valence (first 24),15,Congruence,Rampone ,2014,Neuropsychologia,Electrophysiological analysis of the affective congruence between pattern regularity and word valence,"Rampone, G., Makin, A. D. J. and Bertamini, M.",10.1016/j.neuropsychologia.2014.04.005
4,EX1 Reg or Valence (first 24),16,Congruence,Rampone ,2014,Neuropsychologia,Electrophysiological analysis of the affective congruence between pattern regularity and word valence,"Rampone, G., Makin, A. D. J. and Bertamini, M.",10.1016/j.neuropsychologia.2014.04.005
4,EX1 Reg or Valence (first 24),17,Congruence,Rampone ,2014,Neuropsychologia,Electrophysiological analysis of the affective congruence between pattern regularity and word valence,"Rampone, G., Makin, A. D. J. and Bertamini, M.",10.1016/j.neuropsychologia.2014.04.005
4,EX2 both (surviving 17),18,Congruence,Rampone ,2014,Neuropsychologia,Electrophysiological analysis of the affective congruence between pattern regularity and word valence,"Rampone, G., Makin, A. D. J. and Bertamini, M.",10.1016/j.neuropsychologia.2014.04.005
5,N/A,19,Psymm Palumbo,Palumbo  ,2015,Vis Res,Scaling of the extrastriate neural response to symmetry,"Palumbo, L., Bertamini, M. and Makin, A.",10.1016/j.visres.2015.10.002
5,N/A,20,Psymm Palumbo,Palumbo  ,2015,Vis Res,Scaling of the extrastriate neural response to symmetry,"Palumbo, L., Bertamini, M. and Makin, A.",10.1016/j.visres.2015.10.002
5,N/A,21,Psymm Palumbo,Palumbo  ,2015,Vis Res,Scaling of the extrastriate neural response to symmetry,"Palumbo, L., Bertamini, M. and Makin, A.",10.1016/j.visres.2015.10.002
5,N/A,22,Psymm Palumbo,Palumbo  ,2015,Vis Res,Scaling of the extrastriate neural response to symmetry,"Palumbo, L., Bertamini, M. and Makin, A.",10.1016/j.visres.2015.10.002
5,N/A,23,Psymm Palumbo,Palumbo  ,2015,Vis Res,Scaling of the extrastriate neural response to symmetry,"Palumbo, L., Bertamini, M. and Makin, A.",10.1016/j.visres.2015.10.002
6,N/A,24,Horizontal Vertical,Wright  ,2015,Psychophysiology,Right-lateralized alpha desynchronization during regularity discrimination: hemispheric specialization or directed spatial attention?,"Wright, D., Makin, A. D. and Bertamini, M.",10.1111/psyp.12399
6,N/A,25,Horizontal Vertical,Wright  ,2015,Psychophysiology,Right-lateralized alpha desynchronization during regularity discrimination: hemispheric specialization or directed spatial attention?,"Wright, D., Makin, A. D. and Bertamini, M.",10.1111/psyp.12399
7,EX1 Disc Reg,26,Slant,Makin  ,2015,Psychophysiology,Conditions for view invariance in the neural response to visual symmetry,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/psyp.12365
7,EX1 Disc Reg,27,Slant,Makin  ,2015,Psychophysiology,Conditions for view invariance in the neural response to visual symmetry,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/psyp.12365
